,movie_name,director_stars,release_year,rating
0,Die Verurteilten,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",(1994),9.2
1,Der Pate,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",(1972),9.2
2,The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",(2008),9.0
3,Der Pate 2,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",(1974),9.0
4,Die zwölf Geschworenen,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",(1957),9.0
5,Schindlers Liste,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",(1993),8.9
6,Der Herr der Ringe: Die Rückkehr des Königs,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",(2003),8.9
7,Pulp Fiction,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",(1994),8.8
8,Der Herr der Ringe: Die Gefährten,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",(2001),8.8
9,Zwei glorreiche Halunken,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",(1966),8.8
10,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",(1994),8.8
11,Fight Club,"David Fincher (dir.), Brad Pitt, Edward Norton",(1999),8.7
12,Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",(2010),8.7
13,Der Herr der Ringe: Die zwei Türme,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",(2002),8.7
14,Das Imperium schlägt zurück,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",(1980),8.7
15,Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",(1999),8.7
16,GoodFellas - Drei Jahrzehnte in der Mafia,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",(1990),8.7
17,Einer flog über das Kuckucksnest,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",(1975),8.6
18,Sieben,"David Fincher (dir.), Morgan Freeman, Brad Pitt",(1995),8.6
19,Die sieben Samurai,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",(1954),8.6
20,Ist das Leben nicht schön?,"Frank Capra (dir.), James Stewart, Donna Reed",(1946),8.6
21,Das Schweigen der Lämmer,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",(1991),8.6
22,City of God,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",(2002),8.6
23,Der Soldat James Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",(1998),8.6
24,Das Leben ist schön,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",(1997),8.6
25,Interstellar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",(2014),8.6
26,The Green Mile,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",(1999),8.6
27,Krieg der Sterne,"George Lucas (dir.), Mark Hamill, Harrison Ford",(1977),8.6
28,Terminator 2: Tag der Abrechnung,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",(1991),8.5
29,Zurück in die Zukunft,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",(1985),8.5
30,Chihiros Reise ins Zauberland,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",(2001),8.5
31,Psycho,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",(1960),8.5
32,Der Pianist,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",(2002),8.5
33,Parasite,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",(2019),8.5
34,Léon: Der Profi,"Luc Besson (dir.), Jean Reno, Gary Oldman",(1994),8.5
35,Der König der Löwen,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",(1994),8.5
36,Gladiator,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",(2000),8.5
37,American History X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",(1998),8.5
38,Departed: Unter Feinden,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",(2006),8.5
39,Die üblichen Verdächtigen,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",(1995),8.5
40,Prestige - Die Meister der Magie,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",(2006),8.5
41,Whiplash,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",(2014),8.5
42,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",(1942),8.5
43,Ziemlich beste Freunde,"Olivier Nakache (dir.), François Cluzet, Omar Sy",(2011),8.5
44,Harakiri,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",(1962),8.5
45,Die letzten Glühwürmchen,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",(1988),8.5
46,Moderne Zeiten,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",(1936),8.4
47,Spiel mir das Lied vom Tod,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",(1968),8.4
48,Das Fenster zum Hof,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",(1954),8.4
49,Alien - Das unheimliche Wesen aus einer fremden Welt,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",(1979),8.4
50,Lichter der Großstadt - Eine Komödien-Romance als Pantomime,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",(1931),8.4
51,Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",(1988),8.4
52,Apocalypse Now,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",(1979),8.4
53,Memento,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",(2000),8.4
54,Jäger des verlorenen Schatzes,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",(1981),8.4
55,Django Unchained,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",(2012),8.4
56,WALL·E - Der Letzte räumt die Erde auf,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",(2008),8.4
57,Das Leben der Anderen,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",(2006),8.4
58,Boulevard der Dämmerung,"Billy Wilder (dir.), William Holden, Gloria Swanson",(1950),8.4
59,Wege zum Ruhm,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",(1957),8.4
60,Shining,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",(1980),8.4
61,Der große Diktator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",(1940),8.4
62,Zeugin der Anklage,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",(1957),8.4
63,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",(2018),8.4
64,Alien 2 - Die Rückkehr,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",(1986),8.3
65,American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",(1999),8.3
66,Spider-Man: A New Universe,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",(2018),8.3
67,"Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben","Stanley Kubrick (dir.), Peter Sellers, George C. Scott",(1964),8.3
68,The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",(2012),8.3
69,Oldboy,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",(2003),8.3
70,Joker,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",(2019),8.3
71,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",(1984),8.3
72,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",(1995),8.3
73,Inglourious Basterds,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",(2009),8.3
74,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",(1995),8.3
75,Coco: Lebendiger als das Leben,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",(2017),8.3
76,Das Boot,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",(1981),8.3
77,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",(2022),8.3
78,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",(2019),8.3
79,Prinzessin Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",(1997),8.3
80,Es war einmal in Amerika,"Sergio Leone (dir.), Robert De Niro, James Woods",(1984),8.3
81,Good Will Hunting: Der gute Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon",(1997),8.3
82,Your Name.,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",(2016),8.3
83,Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",(2000),8.3
84,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",(2010),8.3
85,Du sollst mein Glücksstern sein,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",(1952),8.3
86,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",(2009),8.3
87,Zwischen Himmel und Hölle,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",(1963),8.3
88,Die Rückkehr der Jedi-Ritter,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",(1983),8.3
89,2001: Odyssee im Weltraum,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",(1968),8.3
90,Vergiss mein nicht,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",(2004),8.3
91,Reservoir Dogs: Wilde Hunde,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",(1992),8.3
92,Capernaum: Stadt der Hoffnung,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",(2018),8.3
93,Die Jagd,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",(2012),8.3
94,Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",(1941),8.3
95,Lawrence von Arabien,"David Lean (dir.), Peter O'Toole, Alec Guinness",(1962),8.3
96,M: Eine Stadt sucht einen Mörder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",(1931),8.3
97,Komm und sieh',"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",(1985),8.3
98,Der unsichtbare Dritte,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",(1959),8.2
99,Aus dem Reich der Toten,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",(1958),8.2
100,Die fabelhafte Welt der Amelie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",(2001),8.2
101,Uhrwerk Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",(1971),8.2
102,Das Appartement,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",(1960),8.2
103,Frau ohne Gewissen,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",(1944),8.2
104,Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",(1987),8.2
105,Ikiru - Einmal wirklich leben,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",(1952),8.2
106,Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",(1983),8.2
107,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",(2020),8.2
108,Der Clou,"George Roy Hill (dir.), Paul Newman, Robert Redford",(1973),8.2
109,Wer die Nachtigall stört,"Robert Mulligan (dir.), Gregory Peck, John Megna",(1962),8.2
110,Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro",(1995),8.2
111,Oben,"Pete Docter (dir.), Edward Asner, Jordan Nagai",(2009),8.2
112,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",(1976),8.2
113,Die Frau die singt - Incendies,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",(2010),8.2
114,Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",(1927),8.2
115,Nader und Simin - eine Trennung,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",(2011),8.2
116,L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",(1997),8.2
117,Snatch: Schweine und Diamanten,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",(2000),8.2
118,Fahrraddiebe,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",(1948),8.2
119,Stirb langsam,"John McTiernan (dir.), Bruce Willis, Alan Rickman",(1988),8.2
120,Indiana Jones und der letzte Kreuzzug,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",(1989),8.2
121,Taare Zameen Par: Ein Stern auf Erden,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",(2007),8.2
122,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",(2019),8.2
123,Der Untergang,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",(2004),8.2
124,Für ein paar Dollar mehr,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",(1965),8.2
125,Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine",(2005),8.2
126,Dangal: Die Hoffnung auf den großen Sieg,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",(2016),8.2
127,Der Vagabund und das Kind,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",(1921),8.2
128,Manche mögen's heiß,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",(1959),8.2
129,Alles über Eva,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",(1950),8.2
130,The Father,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",(2020),8.2
131,Green Book,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",(2018),8.2
132,The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",(2013),8.2
133,Das Urteil von Nürnberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",(1961),8.2
134,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",(1985),8.2
135,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",(1995),8.2
136,Pans Labyrinth,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",(2006),8.2
137,Erbarmungslos,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",(1992),8.2
138,There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",(2007),8.2
139,Spider-Man: No Way Home,"Jon Watts (dir.), Tom Holland, Zendaya",(2021),8.2
140,Die Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris",(1998),8.2
141,The Sixth Sense - Nicht jede Gabe ist ein Segen,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",(1999),8.2
142,A Beautiful Mind: Genie und Wahnsinn,"Ron Howard (dir.), Russell Crowe, Ed Harris",(2001),8.2
143,Yojimbo - Der Leibwächter,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",(1961),8.1
144,Die Ritter der Kokosnuß,"Terry Gilliam (dir.), Graham Chapman, John Cleese",(1975),8.1
145,Der Schatz der Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",(1948),8.1
146,Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",(2010),8.1
147,Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",(1993),8.1
148,Rashomon - Das Lustwäldchen,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",(1950),8.1
149,Gesprengte Ketten,"John Sturges (dir.), Steve McQueen, James Garner",(1963),8.1
150,Kill Bill - Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",(2003),8.1
151,No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",(2007),8.1
152,Findet Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",(2003),8.1
153,Der Elefantenmensch,"David Lynch (dir.), Anthony Hopkins, John Hurt",(1980),8.1
154,Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",(1974),8.1
155,Das Ding aus einer anderen Welt,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",(1982),8.1
156,Wie ein wilder Stier,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",(1980),8.1
157,Vom Winde verweht,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",(1939),8.1
158,V wie Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",(2005),8.1
159,Alles steht Kopf,"Pete Docter (dir.), Amy Poehler, Bill Hader",(2015),8.1
160,Bube Dame König grAS,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",(1998),8.1
161,Bei Anruf Mord,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",(1954),8.1
162,In ihren Augen,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",(2009),8.1
163,Das wandelnde Schloss,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",(2004),8.1
164,Die Brücke am Kwai,"David Lean (dir.), William Holden, Alec Guinness",(1957),8.1
165,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",(2017),8.1
166,Trainspotting - Neue Helden,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",(1996),8.1
167,Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",(2011),8.1
168,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",(2008),8.1
169,Fargo: Blutiger Schnee,"Joel Coen (dir.), William H. Macy, Frances McDormand",(1996),8.1
170,Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",(2013),8.1
171,Mein Nachbar Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",(1988),8.1
172,Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",(2004),8.1
173,Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",(2002),8.1
174,Goldrausch,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",(1925),8.1
175,Kinder des Himmels,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",(1997),8.1
176,Der Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",(1982),8.1
177,Die Faust im Nacken,"Elia Kazan (dir.), Marlon Brando, Karl Malden",(1954),8.1
178,12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",(2013),8.1
179,Before Sunrise - Zwischenstopp in Wien,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",(1995),8.1
180,Der dritte Mann,"Carol Reed (dir.), Orson Welles, Joseph Cotten",(1949),8.1
181,Wilde Erdbeeren,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",(1957),8.1
182,Harry Potter und die Heiligtümer des Todes - Teil 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",(2011),8.1
183,Ben Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",(1959),8.1
184,Gone Girl - Das perfekte Opfer,"David Fincher (dir.), Ben Affleck, Rosamund Pike",(2014),8.1
185,Der General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",(1926),8.1
186,Die durch die Hölle gehen,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",(1978),8.1
187,Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",(2014),8.1
188,Im Namen des Vaters,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",(1993),8.1
189,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",(1975),8.1
190,Lohn der Angst,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",(1953),8.1
191,Sherlock Holmes Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",(1924),8.1
192,Mr. Smith geht nach Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",(1939),8.1
193,Memories of Murder,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",(2003),8.1
194,Hacksaw Ridge - Die Entscheidung,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",(2016),8.1
195,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",(2019),8.1
196,Wild Tales: Jeder dreht mal durch!,"Damián Szifron (dir.), Darío Grandinetti, María Marull",(2014),8.1
197,Das siebente Siegel,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",(1957),8.1
198,Raum,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",(2015),8.1
199,Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",(2015),8.1
200,"Mary & Max, oder - Schrumpfen Schafe, wenn es regnet","Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",(2009),8.1
201,Drachenzähmen leicht gemacht,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",(2010),8.1
202,The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",(1998),8.1
203,Die Monster AG,"Pete Docter (dir.), Billy Crystal, John Goodman",(2001),8.1
204,Der weiße Hai,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",(1975),8.1
205,Die Reise nach Tokio,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",(1953),8.1
206,Die Passion der Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",(1928),8.1
207,Der Club der toten Dichter,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",(1989),8.1
208,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",(2004),8.1
209,Le Mans 66 - Gegen jede Chance,"James Mangold (dir.), Matt Damon, Christian Bale",(2019),8.0
210,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",(1976),8.0
211,Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",(1986),8.0
212,Apus Weg ins Leben - 1.: Auf der Straße,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",(1955),8.0
213,Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",(2022),8.0
214,Stand by Me: Das Geheimnis eines Sommers,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",(1986),8.0
215,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",(1984),8.0
216,Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",(2015),8.0
217,Rush: Alles für den Sieg,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",(2013),8.0
218,Logan: The Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",(2017),8.0
219,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",(2007),8.0
220,Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",(1976),8.0
221,Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",(2007),8.0
222,Der Zauberer von Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",(1939),8.0
223,Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",(2004),8.0
224,Und täglich grüßt das Murmeltier,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",(1993),8.0
225,Der Exorzist,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",(1973),8.0
226,Die besten Jahre unseres Lebens,"William Wyler (dir.), Myrna Loy, Dana Andrews",(1946),8.0
227,Sein oder Nichtsein,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",(1942),8.0
228,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",(2021),8.0
229,Die Unglaublichen,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",(2004),8.0
230,Schlacht um Algier,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",(1966),8.0
231,Hachiko - Eine wunderbare Freundschaft,"Lasse Hallström (dir.), Richard Gere, Joan Allen",(2009),8.0
232,Früchte des Zorns,"John Ford (dir.), Henry Fonda, Jane Darwell",(1940),8.0
233,Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",(1940),8.0
234,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",(2000),8.0
235,Mein Vater und mein Sohn,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",(2005),8.0
236,Fluch der Karibik,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",(2003),8.0
237,Hass,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",(1995),8.0
238,Der Unbeugsame,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",(1967),8.0
239,Sie küßten und sie schlugen ihn,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",(1959),8.0
240,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",(1966),8.0
241,Es geschah in einer Nacht,"Frank Capra (dir.), Clark Gable, Claudette Colbert",(1934),8.0
242,Die Taschendiebin,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",(2016),8.0
243,Das Leben des Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",(1979),8.0
244,"Meine Lieder, meine Träume","Robert Wise (dir.), Julie Andrews, Christopher Plummer",(1965),8.0
245,"Uzala, der Kirgise","Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",(1975),8.0
246,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",(1982),8.0
247,The Help,"Tate Taylor (dir.), Viola Davis, Emma Stone",(2011),8.0
248,Aladdin,"Ron Clements (dir.), Scott Weinger, Robin Williams",(1992),8.0
249,Der Gigant aus dem All,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",(1999),8.0
